date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:01	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1702216509-ssl-df	https://minfotailwind.netlify.app/robots.txt		(from )
13:28:01	179263/179263	---MCZ	200	added ('OK')	text/html	etag:%22766aff80e0d99582afc6b34360a5faae-ssl-df%22	https://minfotailwind.netlify.app/?version=light	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/index536b.html	(from )
13:28:01	32423/32423	---M--	200	added ('OK')	image/png	etag:%227cbf8530604af0a723f9302a830ab8c3-ssl%22	https://minfotailwind.netlify.app/assets/img/user-sidebar-thumb.png	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/img/user-sidebar-thumb.png	(from https://minfotailwind.netlify.app/?version=light)
13:28:02	173752/173752	---MCZ	200	added ('OK')	text/css	etag:%220d4911a961331a3c6c5d2dbbda765e70-ssl-df%22	https://minfotailwind.netlify.app/assets/css/fontAwesome5Pro.css	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/css/fontAwesome5Pro.css	(from https://minfotailwind.netlify.app/?version=light)
13:28:03	20646/20646	---MCZ	200	added ('OK')	text/css	etag:%225fb8cd5a010c0aad720701fac855fe75-ssl-df%22	https://minfotailwind.netlify.app/assets/css/cdheadline.css	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/css/cdheadline.css	(from https://minfotailwind.netlify.app/?version=light)
13:28:03	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%2288165c1e98a0325643e12a3549ca0a05-ssl-df%22	https://minfotailwind.netlify.app/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/css/swiper-bundle.min.css	(from https://minfotailwind.netlify.app/?version=light)
13:28:04	148059/148059	---MCZ	200	added ('OK')	text/css	etag:%221fc515cbb26660711dd04f7fd7961160-ssl-df%22	https://minfotailwind.netlify.app/assets/css/style.min.css	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/css/style.min.css	(from https://minfotailwind.netlify.app/?version=light)
13:28:04	591/591	---M--	200	added ('OK')	image/svg+xml	etag:%22ef6a0c3569827f0646d51add17c1f12f-ssl%22	https://minfotailwind.netlify.app/assets/img/site-logo.svg	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/img/site-logo.svg	(from https://minfotailwind.netlify.app/?version=light)
13:28:05	32279/32279	---M--	200	added ('OK')	image/png	etag:%2287d7d457f177e389cb07f279ac5e8b6f-ssl%22	https://minfotailwind.netlify.app/assets/img/user-sidebar-thumb-light.png	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/assets/img/user-sidebar-thumb-light.png	(from https://minfotailwind.netlify.app/?version=light)
13:28:05	179263/179263	---MCZ	200	added ('OK')	text/html	etag:%22766aff80e0d99582afc6b34360a5faae-ssl-df%22	https://minfotailwind.netlify.app/	C:/My%20Web%20Sites/portfolio_website_4_light/minfotailwind.netlify.app/index.html	(from https://minfotailwind.netlify.app/?version=light)
